[2015-09-02 10:36:01,820][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 12:35:31,356][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-02 12:35:31,357][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-02 12:35:31,357][INFO] [LAN] Objeto destruido.
[2015-09-02 12:35:31,360][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-02 12:35:31,360][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-02 12:35:32,606][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 12:35:36,120][INFO] [EMAIL] Objeto destruido.
[2015-09-02 12:39:04,338][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 12:39:04,622][INFO] [LAN] Listo para usarse.
[2015-09-02 12:39:04,638][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 12:39:34,969][INFO] [EMAIL] Listo para usarse.
[2015-09-02 12:39:40,016][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-02 12:39:40,022][INFO] [CHECKER] Objeto destruido.
[2015-09-02 12:39:40,022][INFO] [SMS] Objeto destruido.
[2015-09-02 13:14:47,129][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 13:14:47,414][INFO] [LAN] Listo para usarse.
[2015-09-02 13:14:47,423][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 13:14:50,686][INFO] [EMAIL] Listo para usarse.
[2015-09-02 13:15:10,899][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-02 13:15:10,900][INFO] [CHECKER] Objeto destruido.
[2015-09-02 13:15:10,900][INFO] [SMS] Objeto destruido.
[2015-09-02 13:15:11,070][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 13:15:11,436][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-02 13:15:11,437][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-02 13:15:11,438][INFO] [LAN] Objeto destruido.
[2015-09-02 13:15:11,446][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-02 13:15:11,447][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-02 13:15:11,496][INFO] [EMAIL] Objeto destruido.
[2015-09-02 13:15:35,717][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-02 13:15:36,040][INFO] [LAN] Listo para usarse.
[2015-09-02 13:15:36,063][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-02 13:15:38,724][INFO] [EMAIL] Listo para usarse.
[2015-09-02 13:16:04,099][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-02 13:16:04,100][INFO] [CHECKER] Objeto destruido.
[2015-09-02 13:16:04,100][INFO] [SMS] Objeto destruido.
[2015-09-02 13:16:04,404][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-02 13:16:04,571][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-02 13:16:04,572][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-02 13:16:04,573][INFO] [LAN] Objeto destruido.
[2015-09-02 13:16:04,592][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-02 13:16:04,593][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-02 13:16:04,809][INFO] [EMAIL] Objeto destruido.
[2015-09-04 08:33:15,400][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 08:33:15,930][INFO] [LAN] Listo para usarse.
[2015-09-04 08:33:16,140][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 08:33:19,221][INFO] [EMAIL] Listo para usarse.
[2015-09-04 08:33:55,281][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 08:33:55,281][INFO] [CHECKER] Objeto destruido.
[2015-09-04 08:33:55,281][INFO] [SMS] Objeto destruido.
[2015-09-04 08:33:55,546][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 08:33:55,948][INFO] [EMAIL] Objeto destruido.
[2015-09-04 08:33:56,510][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 08:33:56,510][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 08:33:56,511][INFO] [LAN] Objeto destruido.
[2015-09-04 08:33:56,761][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 08:33:56,762][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 08:44:47,311][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 08:44:47,577][INFO] [LAN] Listo para usarse.
[2015-09-04 08:44:47,581][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 08:44:50,301][INFO] [EMAIL] Listo para usarse.
[2015-09-04 08:45:05,399][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 08:45:05,399][INFO] [CHECKER] Objeto destruido.
[2015-09-04 08:45:05,399][INFO] [SMS] Objeto destruido.
[2015-09-04 08:45:05,576][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 08:45:05,597][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 08:45:05,597][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 08:45:05,598][INFO] [LAN] Objeto destruido.
[2015-09-04 08:45:05,599][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 08:45:05,599][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 08:45:05,974][INFO] [EMAIL] Objeto destruido.
[2015-09-04 09:15:49,661][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 09:15:49,928][INFO] [LAN] Listo para usarse.
[2015-09-04 09:15:49,932][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 09:16:11,031][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 09:16:11,032][INFO] [CHECKER] Objeto destruido.
[2015-09-04 09:16:11,032][INFO] [SMS] Objeto destruido.
[2015-09-04 09:16:12,454][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 09:16:12,456][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 09:16:12,457][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 09:16:12,455][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 09:16:12,459][INFO] [LAN] Objeto destruido.
[2015-09-04 09:29:18,116][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 09:29:18,383][INFO] [LAN] Listo para usarse.
[2015-09-04 09:29:21,445][INFO] [EMAIL] Listo para usarse.
[2015-09-04 09:29:21,450][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 09:29:36,532][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 09:29:36,533][INFO] [SMS] Objeto destruido.
[2015-09-04 09:29:37,010][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 09:29:37,420][INFO] [EMAIL] Objeto destruido.
[2015-09-04 09:29:37,902][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 09:29:37,904][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 09:29:37,904][INFO] [LAN] Objeto destruido.
[2015-09-04 09:29:37,970][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 09:29:37,970][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 09:34:04,296][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 09:34:04,584][INFO] [LAN] Listo para usarse.
[2015-09-04 09:34:07,480][INFO] [EMAIL] Listo para usarse.
[2015-09-04 09:34:07,485][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 09:34:17,533][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 09:34:17,534][INFO] [SMS] Objeto destruido.
[2015-09-04 09:34:17,671][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 09:34:17,998][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 09:34:17,998][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 09:34:18,089][INFO] [EMAIL] Objeto destruido.
[2015-09-04 09:34:18,100][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 09:34:18,101][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 09:34:18,102][INFO] [LAN] Objeto destruido.
[2015-09-04 09:43:12,583][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 09:43:12,883][INFO] [LAN] Listo para usarse.
[2015-09-04 09:43:15,981][INFO] [EMAIL] Listo para usarse.
[2015-09-04 09:43:15,989][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 09:43:41,161][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 09:43:41,161][INFO] [SMS] Objeto destruido.
[2015-09-04 09:43:41,423][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 09:43:41,429][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 09:43:41,429][INFO] [LAN] Objeto destruido.
[2015-09-04 09:43:41,431][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 09:43:41,516][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 09:43:41,516][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 09:43:41,934][INFO] [EMAIL] Objeto destruido.
[2015-09-04 09:51:22,698][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 09:51:22,708][INFO] [SMS] Objeto destruido.
[2015-09-04 09:51:22,709][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 09:51:49,121][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 09:51:49,411][INFO] [LAN] Listo para usarse.
[2015-09-04 09:51:52,698][INFO] [EMAIL] Listo para usarse.
[2015-09-04 09:51:52,704][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 09:52:02,761][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 09:52:02,763][INFO] [SMS] Objeto destruido.
[2015-09-04 09:52:02,927][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 09:52:02,928][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 09:52:02,928][INFO] [LAN] Objeto destruido.
[2015-09-04 09:52:03,029][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 09:52:03,216][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 09:52:03,216][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 09:52:03,454][INFO] [EMAIL] Objeto destruido.
[2015-09-04 09:54:28,478][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 09:54:28,770][INFO] [LAN] Listo para usarse.
[2015-09-04 09:54:31,446][INFO] [EMAIL] Listo para usarse.
[2015-09-04 09:54:31,452][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 09:54:41,505][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 09:54:41,506][INFO] [SMS] Objeto destruido.
[2015-09-04 09:54:41,940][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 09:54:41,963][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 09:54:41,963][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 09:54:42,286][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 09:54:42,287][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 09:54:42,287][INFO] [LAN] Objeto destruido.
[2015-09-04 09:54:42,336][INFO] [EMAIL] Objeto destruido.
[2015-09-04 10:05:08,622][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 10:05:08,637][INFO] [SMS] Objeto destruido.
[2015-09-04 10:05:08,637][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 10:06:03,064][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 10:06:03,370][INFO] [LAN] Listo para usarse.
[2015-09-04 10:06:16,707][INFO] [EMAIL] Listo para usarse.
[2015-09-04 10:06:16,713][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 10:06:21,733][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 10:06:21,734][INFO] [SMS] Objeto destruido.
[2015-09-04 10:06:21,910][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 10:06:22,308][INFO] [EMAIL] Objeto destruido.
[2015-09-04 10:06:22,720][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 10:06:22,720][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 10:06:22,890][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 10:06:22,892][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 10:06:22,893][INFO] [LAN] Objeto destruido.
[2015-09-04 10:07:06,903][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 10:07:07,208][INFO] [LAN] Listo para usarse.
[2015-09-04 10:07:11,597][INFO] [EMAIL] Listo para usarse.
[2015-09-04 10:07:11,604][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 10:07:16,627][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 10:07:16,628][INFO] [SMS] Objeto destruido.
[2015-09-04 10:07:17,142][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 10:07:17,555][INFO] [EMAIL] Objeto destruido.
[2015-09-04 10:07:17,612][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 10:07:17,612][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 10:07:17,723][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 10:07:17,735][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 10:07:17,735][INFO] [LAN] Objeto destruido.
[2015-09-04 10:08:36,000][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 10:08:36,301][INFO] [LAN] Listo para usarse.
[2015-09-04 10:08:39,200][INFO] [EMAIL] Listo para usarse.
[2015-09-04 10:08:39,205][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 10:08:44,224][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 10:08:44,225][INFO] [SMS] Objeto destruido.
[2015-09-04 10:08:44,393][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 10:08:44,792][INFO] [EMAIL] Objeto destruido.
[2015-09-04 10:08:45,213][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 10:08:45,213][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 10:08:45,312][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 10:08:45,313][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 10:08:45,313][INFO] [LAN] Objeto destruido.
[2015-09-04 10:09:16,724][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-04 10:09:17,031][INFO] [LAN] Listo para usarse.
[2015-09-04 10:09:19,972][INFO] [EMAIL] Listo para usarse.
[2015-09-04 10:09:19,979][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-04 10:09:24,999][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-04 10:09:25,153][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-04 10:09:25,154][INFO] [CHECKER] Objeto destruido.
[2015-09-04 10:09:25,763][INFO] [EMAIL] Objeto destruido.
[2015-09-04 10:09:25,763][INFO] [SMS] Objeto destruido.
[2015-09-04 10:09:25,986][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-04 10:09:25,987][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-04 10:09:26,050][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-04 10:09:26,058][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-04 10:09:26,058][INFO] [LAN] Objeto destruido.
[2015-09-07 10:22:26,184][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-07 10:22:26,587][INFO] [LAN] Listo para usarse.
[2015-09-07 10:22:30,186][INFO] [EMAIL] Listo para usarse.
[2015-09-07 10:22:30,213][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-07 10:22:40,324][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-07 10:22:40,364][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-07 10:22:40,365][INFO] [CHECKER] Objeto destruido.
[2015-09-07 10:22:40,726][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-07 10:22:40,784][INFO] [EMAIL] Objeto destruido.
[2015-09-07 10:22:40,784][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-07 10:22:40,785][INFO] [SMS] Objeto destruido.
[2015-09-07 10:22:41,613][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-07 10:22:41,614][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-07 10:22:41,614][INFO] [LAN] Objeto destruido.
[2015-09-08 08:39:14,357][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-08 08:39:14,773][INFO] [LAN] Listo para usarse.
[2015-09-08 08:39:17,797][INFO] [EMAIL] Listo para usarse.
[2015-09-08 08:39:17,818][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-08 08:40:38,505][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-08 08:40:38,859][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-08 08:40:38,859][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-08 08:40:38,905][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-08 08:40:38,921][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-08 08:40:38,922][INFO] [CHECKER] Objeto destruido.
[2015-09-08 08:40:39,315][INFO] [EMAIL] Objeto destruido.
[2015-09-08 08:40:39,316][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-08 08:40:39,316][INFO] [SMS] Objeto destruido.
[2015-09-08 08:40:39,317][INFO] [LAN] Objeto destruido.
[2015-09-08 08:49:45,149][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-08 08:49:45,424][INFO] [LAN] Listo para usarse.
[2015-09-08 08:49:48,414][INFO] [EMAIL] Listo para usarse.
[2015-09-08 08:49:48,419][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-08 08:49:53,737][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-08 08:49:54,425][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-08 08:49:54,436][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-08 08:49:54,436][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-08 08:49:58,452][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-08 08:49:58,453][INFO] [CHECKER] Objeto destruido.
[2015-09-08 08:49:58,850][INFO] [EMAIL] Objeto destruido.
[2015-09-08 08:49:58,851][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-08 08:49:58,851][INFO] [SMS] Objeto destruido.
[2015-09-08 08:49:58,851][INFO] [LAN] Objeto destruido.
[2015-09-08 08:51:04,018][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-08 08:51:04,299][INFO] [LAN] Listo para usarse.
[2015-09-08 08:51:06,846][INFO] [EMAIL] Listo para usarse.
[2015-09-08 08:51:06,851][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-08 08:51:33,895][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-08 08:51:33,899][WARNING] [BLUETOOTH] Funcion 'receiveRFCOMM' terminada.
[2015-09-08 08:51:34,334][WARNING] [LAN] Funcion 'receiveTcp' terminada.
[2015-09-08 08:51:34,335][WARNING] [LAN] Funcion 'receiveUdp' terminada
[2015-09-08 08:51:37,013][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-08 08:51:37,014][INFO] [CHECKER] Objeto destruido.
[2015-09-08 08:51:37,026][INFO] [SMS] Objeto destruido.
[2015-09-08 08:51:37,026][INFO] [BLUETOOTH] Objeto destruido.
[2015-09-08 08:51:37,424][INFO] [EMAIL] Objeto destruido.
[2015-09-08 08:51:37,425][INFO] [LAN] Objeto destruido.
[2015-09-08 08:52:10,659][INFO] [CONFIG READER] Archivo de configuración cargado correctamente.
[2015-09-08 08:52:10,938][INFO] [LAN] Listo para usarse.
[2015-09-08 08:52:13,722][INFO] [EMAIL] Listo para usarse.
[2015-09-08 08:52:13,730][INFO] [BLUETOOTH] Listo para usarse.
[2015-09-08 08:52:18,586][WARNING] [EMAIL] Funcion 'receive' terminada.
[2015-09-08 08:52:18,734][INFO] [CHECKER] Funcion 'verifyConnections' terminada.
[2015-09-08 08:52:18,734][INFO] [CHECKER] Objeto destruido.
